Version:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Species Code,Short Description,Image Filename,Can be Ordered Online,Max Quantity,Use Product Page,Use Product Page in Sitemap,Product List Link Text,Clicking Product Name in Product List,Product Group ID,Product Duplicate Index,Link Type,nContentCategory,Assembly Product,Exclude From Shipping,ProductSubTitle,TitleTabOne,Full Description,TitleTabTwo,Extended Info Text,TitleTabThree,ContentTabThree,TitleTabFour,ContentTabFour,FeaturedDescriptionText,Bullet1,Bullet2,Bullet3,Bullet4,Bullet5,Bullet6,Berry Colour,Colourful Foliage,Deciduous,Evergreen,Common Name,Flower Colour,Grows Up To,Growth Rate,Has Berries,Has Flowers,Is Native,Has Wildlife Value,Feature Hedge,Intruder Proof,Noise Prevention,Privacy Hedge,Windbreak,Is Edible,Is Fragrant,Is Grazing Animal Friendly,Is Prickly,Latin A-Z Letter,Latin Name,Leaf Colour,Maintainable Height,Min Quantity,MultiPack,Name A-Z Letter,National Trust,PlantingDensity,ProductPageH1Title,ProductPageH2Title,SpeciesProduct,RootType,SpecificationSize
Product,BUXS-BRPK20/30-50,BUXS,Box 20/30cm bare root x 50,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 20/30cm bare root x 50,Buxus sempervirens ,FALSE,Bare Root,20/30
Product,BUXS-BRPK20/30-100,BUXS,Box 20/30cm bare root x 100,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 20/30cm bare root x 100,Buxus sempervirens ,FALSE,Bare Root,20/30
Product,BUXS-BRPK20/30-250,BUXS,Box 20/30cm bare root x 250,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 20/30cm bare root x 250,Buxus sempervirens ,FALSE,Bare Root,20/30
Product,BUXS-BRPK20/30-500,BUXS,Box 20/30cm bare root x 500,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 20/30cm bare root x 500,Buxus sempervirens ,FALSE,Bare Root,20/30
Product,BUXS-BRPK30/40-50,BUXS,Box 30/40cm bare root x 50,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 30/40cm bare root x 50,Buxus sempervirens ,FALSE,Bare Root,30/40
Product,BUXS-BRPK30/40-100,BUXS,Box 30/40cm bare root x 100,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 30/40cm bare root x 100,Buxus sempervirens ,FALSE,Bare Root,30/40
Product,BUXS-BRPK30/40-250,BUXS,Box 30/40cm bare root x 250,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 30/40cm bare root x 250,Buxus sempervirens ,FALSE,Bare Root,30/40
Product,BUXS-BRPK30/40-500,BUXS,Box 30/40cm bare root x 500,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 30/40cm bare root x 500,Buxus sempervirens ,FALSE,Bare Root,30/40
Product,BUXS-BRPK40/50-50,BUXS,Box 40/50cm bare root x 50,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 40/50cm bare root x 50,Buxus sempervirens ,FALSE,Bare Root,40/50
Product,BUXS-BRPK40/50-100,BUXS,Box 40/50cm bare root x 100,,1,0,1,1,More...,1,-1,-1,-1,Standard,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,Box,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__,B,Buxus sempervirens ,__UseParent__,__UseParent__,1,1,B,FALSE,3 to 7,Box 40/50cm bare root x 100,Buxus sempervirens ,FALSE,Bare Root,40/50
