Version:16,,,,,,,,,,,,,,,,,,,,,,,,
Header:Product,Product Reference,Short Description,Price,Pricing Model,Assembly Product,,,,,,,,,,,,,,,,,,,
Header:Component,Component Name,Price,Quantity,Name HTML,Is Optional,Selected by default,Associated Product Reference,Uses Associated Product Prices,Uses Associated Product Name,Uses Associated Product Tax,Component As Separate Order Line,Include No Choice Label,No Choice Label Text,IsDeleted,Content Category,Use Associated Product Shipping,Include Grid of Choice Details,Include Prices,Hide Out of Stock Options,PermutationLayout,PermutationPrice,ComponentAttributeList,AttributeList,ComponentLayout
Product,BUXS-BRPK-20/30-50,Box 20/30cm bare root x 50,9452,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-20/30,0,50,BUXS-BR-20/30,0,1,BUXS-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK-20/30-100,Box 20/30cm bare root x 100,17910,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-20/30,0,100,BUXS-BR-20/30,0,1,BUXS-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK20/30-250,Box 20/30cm bare root x 250,39800,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-20/30,0,250,BUXS-BR-20/30,0,1,BUXS-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK20/30-500,Box 20/30cm bare root x 500,69650,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-20/30,0,500,BUXS-BR-20/30,0,1,BUXS-BR-20/30,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK30/40-50,Box 30/40cm bare root x 50,11799,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-30/40,0,50,BUXS-BR-30/40,0,1,BUXS-BR-30/40,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK30/40-100,Box 30/40cm bare root x 100,22399,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-30/40,0,100,BUXS-BR-30/40,0,1,BUXS-BR-30/40,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK30/40-250,Box 30/40cm bare root x 250,49799,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-30/40,0,250,BUXS-BR-30/40,0,1,BUXS-BR-30/40,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK30/40-500,Box 30/40cm bare root x 500,87149,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-30/40,0,500,BUXS-BR-30/40,0,1,BUXS-BR-30/40,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK40/50-50,Box 40/50cm bare root x 50,16549,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-40/50,0,50,BUXS-BR-40/50,0,1,BUXS-BR-40/50,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK40/50-100,Box 40/50cm bare root x 100,31399,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-40/50,0,100,BUXS-BR-40/50,0,1,BUXS-BR-40/50,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK40/50-250,Box 40/50cm bare root x 250,69799,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-40/50,0,250,BUXS-BR-40/50,0,1,BUXS-BR-40/50,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,BUXS-BRPK40/50-500,Box 40/50cm bare root x 500,122149,0,1,,,,,,,,,,,,,,,,,,,
Component,BUXS-BR-40/50,0,500,BUXS-BR-40/50,0,1,BUXS-BR-40/50,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK40/60-100,Hornbeam 40/60cm bare root x 100,7499,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-40/60,0,100,CARP-BR-40/60,0,1,CARP-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK40/60-250,Hornbeam 40/60cm bare root x 250,17749,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-40/60,0,250,CARP-BR-40/60,0,1,CARP-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK40/60-500,Hornbeam 40/60cm bare root x 500,31599,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-40/60,0,500,CARP-BR-40/60,0,1,CARP-BR-40/60,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK60/90-100,Hornbeam 60/90cm bare root x 100,93099,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-60/90,0,100,CARP-BR-60/90,0,1,CARP-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK60/90-250,Hornbeam 60/90cm bare root x 250,22249,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-60/90,0,250,CARP-BR-60/90,0,1,CARP-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK60/90-500,Hornbeam 60/90cm bare root x 500,39599,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-60/90,0,500,CARP-BR-60/90,0,1,CARP-BR-60/90,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK90/120-100,Hornbeam 90/120cm bare root x 100,15999,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-90/120,0,100,CARP-BR-90/120,0,1,CARP-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK90/120-250,Hornbeam 90/120cm bare root x 250,37999,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-90/120,0,250,CARP-BR-90/120,0,1,CARP-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK90/120-500,Hornbeam 90/120cm bare root x 500,67599,0,1,,,,,,,,,,,,,,,,,,,
Component,CARP-BR-90/120,0,500,CARP-BR-90/120,0,1,CARP-BR-90/120,0,0,0,0,0,,0,Standard,0,0,0,0,__UseParent__,__UseParent__,__UseParent__,__UseParent__,__UseParent__
Product,CARP-BRPK120/150-50,Hornbeam 120/150cm bare root x 50,12099,0,1,,,,,,,,,,,,,,,,,,,
