Version:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header:Variable,Name,Description,Value Type,Value Range,Value Provider,Value ID,Control ID,Group ID,Layout type,Place of Settings,Prompt,Default,Top Value,Searchable,Excluded Categories,Excluded Layouts,Use Parent Settings,Top Use Parent Settings,Custom Categories,Custom Order Layout,Online Flag,NETQUOTEVAR Name,Value Sub ID,Value Sub Sub ID,Included Layout Types,Included Layouts,Created By,Bounded By,Sub Variables,No Layout,Used in External Design,Allow Use Parent,Allow New,Hide If one Choice,Upload,Property Tab ID,Modifiable In Duplicate,Default Encoding,Cascade,Allow Empty Value,Upload If Defined,Export To Google Base
Variable,ProductSubTitle,"Product Sub Title, used to contain the latin species name or other",0,,21,-1,1,Product,,10,Enter Product Sub Title,,,0,,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,0,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Bespoke Options,0,0,1,1,0,0
Variable,IsSpeciesProduct,Variable to determine if the product is the species product,0,,21,-1,1,Product,,8,Is this the species product?,No,No,1,,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,0,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Bespoke Options,0,0,1,1,0,0
Variable,Image1,"The main Species image. Must be at least 2880 x 2880, 96 DPI and 1:1 ratio.",6,,21,-1,2,SpeciesProduct,,8,Please provide Image1,,,0,Standard_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,1,1,0,0
Variable,Image2,"Must be at least 2880 x 2880, 96 DPI and 1:1 ratio.",6,,21,-1,2,SpeciesProduct,,8,Please provide Image2,,,0,Standard_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,0,1,0,0
Variable,Image3,"Must be at least 2880 x 2880, 96 DPI and 1:1 ratio.",6,,21,-1,2,SpeciesProduct,,8,Please provide Image3,,,0,Standard_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,1,1,0,0
Variable,Image4,"Must be at least 2880 x 2880, 96 DPI and 1:1 ratio.",6,,21,-1,2,SpeciesProduct,,8,Please provide Image4,,,0,Standard_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,0,1,0,0
Variable,Image5,"Must be at least 2880 x 2880, 96 DPI and 1:1 ratio.",6,,21,-1,2,SpeciesProduct,,8,Please provide Image5,,,0,Standard_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,0,1,0,0
Variable,Image6,"Must be at least 2880 x 2880, 96 DPI and 1:1 ratio.",6,,21,-1,2,SpeciesProduct,,8,Please provide Image6,,,0,Standard_2,,0,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,0,1,0,0
Variable,ImageAltTag1,This overides filename that will otherwise be used for the Alt tag.,0,,21,-1,1,SpeciesProduct,,8,Alt tag for Image1?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,0,1,0,0
Variable,ImageAltTag2,This overides the filename that will otherwise be used for the Alt tag.,0,,21,-1,1,SpeciesProduct,,8,Alt tag for Image2?,,,0,Standard_2,,1,0,Middle Row First Column Before,Middle Row Mid Column Before,1246576928,,-1,0,Last Row Last Column Before,First Row After,1,0,0,0,0,1,0,0,0,Images,0,0,0,1,0,0
